id,학명,한글보통명,위도,경도,조사일자,조사연도,시도명,개체수,geometry
008000000002341359,Cuculus canorus,뻐꾸기,36.77108306049125,128.50163890038326,2014-06-26,2014,경상북도,,POINT (334067.4074999997 464660.6107000001)
008000000002097833,Cuculus hyperythrus,매사촌,36.84425000122877,129.0799439003825,2014-06-26,2014,경상북도,2,POINT (385527.7688999996 473748.2207999993)
008000000002343279,Cuculus canorus,뻐꾸기,36.8334169409858,128.51199999996467,2014-06-26,2014,경상북도,,POINT (334883.1231000004 471593.3006999996)
008000000002294234,Alcedo atthis,물총새,37.757258061073735,126.52441690040654,2014-06-26,2014,경기도,,POINT (158090.9316999996 573163.5606999993)
008000000002342971,Cuculus canorus,뻐꾸기,36.795278061026664,128.57769390055705,2014-06-26,2014,경상북도,,POINT (340813.8448000001 467455.1710999999)
008000000002096204,Eurystomus orientalis,파랑새,36.805056111240916,126.7427780996392,2014-06-26,2014,충청남도,,POINT (177045.9084999999 467409.7666999996)
008000000002097863,Cuculus canorus,뻐꾸기,36.87905611074871,129.01200000003007,2014-06-26,2014,경상북도,1,POINT (379385.1446000002 477481.6623999998)
008000000002343061,Eurystomus orientalis,파랑새,36.79994389115527,128.533056100336,2014-06-26,2014,경상북도,,POINT (336821.2127 467908.2095999997)
008000000002294609,Cuculus canorus,뻐꾸기,36.85444389130738,129.02888889946172,2014-06-26,2014,경상북도,1,POINT (380949.1575999996 474781.7168000005)
008000000002275926,Cuculus saturatus,벙어리뻐꾸기,36.857443890552595,129.12874999965567,2014-06-26,2014,경상북도,1,POINT (389849.1112000002 475308.6305)
008000000002096206,Eurystomus orientalis,파랑새,36.805056111240916,126.7427780996392,2014-06-26,2014,충청남도,,POINT (177045.9084999999 467409.7666999996)
008000000002294246,Alcedo atthis,물총새,37.76765611071862,126.52527500052157,2014-06-26,2014,경기도,,POINT (158172.4051999999 574317.2869000006)
008000000002096211,Eurystomus orientalis,파랑새,36.80725000052314,126.68088890025835,2014-06-26,2014,충청남도,,POINT (171523.8081 467669.8738000002)
008000000002342918,Eurystomus orientalis,파랑새,36.78158306092673,128.5342780994412,2014-06-26,2014,경상북도,,POINT (336962.9687000001 465872.1807000004)
008000000002343252,Cuculus canorus,뻐꾸기,36.817056110692086,128.56205610029002,2014-06-26,2014,경상북도,,POINT (339378.5368999997 469849.3116999995)
008000000002096196,Eurystomus orientalis,파랑새,36.77541694063238,126.62994389976929,2014-06-26,2014,충청남도,,POINT (166963.9993000003 464153.6000999995)
008000000002285855,Halcyon pileata,청호반새,36.86686111047662,128.54561110047018,2014-06-26,2014,경상북도,,POINT (337821.6547999997 475353.1216000002)
